MUTCell151_1.fastq	MUTCell151_2.fastq	MUTCell151
MUTCell152_1.fastq	MUTCell152_2.fastq	MUTCell152
MUTCell153_1.fastq	MUTCell153_2.fastq	MUTCell153
MUTCell154_1.fastq	MUTCell154_2.fastq	MUTCell154
MUTCell155_1.fastq	MUTCell155_2.fastq	MUTCell155
MUTCell156_1.fastq	MUTCell156_2.fastq	MUTCell156
MUTCell157_1.fastq	MUTCell157_2.fastq	MUTCell157
MUTCell158_1.fastq	MUTCell158_2.fastq	MUTCell158
MUTCell159_1.fastq	MUTCell159_2.fastq	MUTCell159
MUTCell160_1.fastq	MUTCell160_2.fastq	MUTCell160
MUTCell161_1.fastq	MUTCell161_2.fastq	MUTCell161
MUTCell162_1.fastq	MUTCell162_2.fastq	MUTCell162
MUTCell163_1.fastq	MUTCell163_2.fastq	MUTCell163
MUTCell164_1.fastq	MUTCell164_2.fastq	MUTCell164
MUTCell165_1.fastq	MUTCell165_2.fastq	MUTCell165
MUTCell166_1.fastq	MUTCell166_2.fastq	MUTCell166
MUTCell167_1.fastq	MUTCell167_2.fastq	MUTCell167
MUTCell168_1.fastq	MUTCell168_2.fastq	MUTCell168
MUTCell169_1.fastq	MUTCell169_2.fastq	MUTCell169
MUTCell170_1.fastq	MUTCell170_2.fastq	MUTCell170
MUTCell171_1.fastq	MUTCell171_2.fastq	MUTCell171
MUTCell172_1.fastq	MUTCell172_2.fastq	MUTCell172
MUTCell173_1.fastq	MUTCell173_2.fastq	MUTCell173
MUTCell174_1.fastq	MUTCell174_2.fastq	MUTCell174
MUTCell175_1.fastq	MUTCell175_2.fastq	MUTCell175
MUTCell176_1.fastq	MUTCell176_2.fastq	MUTCell176
MUTCell177_1.fastq	MUTCell177_2.fastq	MUTCell177
MUTCell178_1.fastq	MUTCell178_2.fastq	MUTCell178
MUTCell179_1.fastq	MUTCell179_2.fastq	MUTCell179
MUTCell180_1.fastq	MUTCell180_2.fastq	MUTCell180
MUTCell181_1.fastq	MUTCell181_2.fastq	MUTCell181
MUTCell182_1.fastq	MUTCell182_2.fastq	MUTCell182
MUTCell183_1.fastq	MUTCell183_2.fastq	MUTCell183
MUTCell184_1.fastq	MUTCell184_2.fastq	MUTCell184
MUTCell185_1.fastq	MUTCell185_2.fastq	MUTCell185
MUTCell186_1.fastq	MUTCell186_2.fastq	MUTCell186
MUTCell187_1.fastq	MUTCell187_2.fastq	MUTCell187
MUTCell188_1.fastq	MUTCell188_2.fastq	MUTCell188
MUTCell189_1.fastq	MUTCell189_2.fastq	MUTCell189
MUTCell190_1.fastq	MUTCell190_2.fastq	MUTCell190
MUTCell191_1.fastq	MUTCell191_2.fastq	MUTCell191
MUTCell192_1.fastq	MUTCell192_2.fastq	MUTCell192
MUTCell193_1.fastq	MUTCell193_2.fastq	MUTCell193
MUTCell194_1.fastq	MUTCell194_2.fastq	MUTCell194
MUTCell195_1.fastq	MUTCell195_2.fastq	MUTCell195
MUTCell196_1.fastq	MUTCell196_2.fastq	MUTCell196
MUTCell197_1.fastq	MUTCell197_2.fastq	MUTCell197
MUTCell198_1.fastq	MUTCell198_2.fastq	MUTCell198
MUTCell199_1.fastq	MUTCell199_2.fastq	MUTCell199
