WTCell151_1.fastq	WTCell151_2.fastq	WTCell151
WTCell152_1.fastq	WTCell152_2.fastq	WTCell152
WTCell153_1.fastq	WTCell153_2.fastq	WTCell153
WTCell154_1.fastq	WTCell154_2.fastq	WTCell154
WTCell155_1.fastq	WTCell155_2.fastq	WTCell155
WTCell156_1.fastq	WTCell156_2.fastq	WTCell156
WTCell157_1.fastq	WTCell157_2.fastq	WTCell157
WTCell158_1.fastq	WTCell158_2.fastq	WTCell158
WTCell159_1.fastq	WTCell159_2.fastq	WTCell159
WTCell160_1.fastq	WTCell160_2.fastq	WTCell160
WTCell161_1.fastq	WTCell161_2.fastq	WTCell161
WTCell162_1.fastq	WTCell162_2.fastq	WTCell162
WTCell163_1.fastq	WTCell163_2.fastq	WTCell163
WTCell164_1.fastq	WTCell164_2.fastq	WTCell164
WTCell165_1.fastq	WTCell165_2.fastq	WTCell165
WTCell166_1.fastq	WTCell166_2.fastq	WTCell166
WTCell167_1.fastq	WTCell167_2.fastq	WTCell167
WTCell168_1.fastq	WTCell168_2.fastq	WTCell168
WTCell169_1.fastq	WTCell169_2.fastq	WTCell169
WTCell170_1.fastq	WTCell170_2.fastq	WTCell170
WTCell171_1.fastq	WTCell171_2.fastq	WTCell171
WTCell172_1.fastq	WTCell172_2.fastq	WTCell172
WTCell173_1.fastq	WTCell173_2.fastq	WTCell173
WTCell174_1.fastq	WTCell174_2.fastq	WTCell174
WTCell175_1.fastq	WTCell175_2.fastq	WTCell175
WTCell176_1.fastq	WTCell176_2.fastq	WTCell176
WTCell177_1.fastq	WTCell177_2.fastq	WTCell177
WTCell178_1.fastq	WTCell178_2.fastq	WTCell178
WTCell179_1.fastq	WTCell179_2.fastq	WTCell179
WTCell180_1.fastq	WTCell180_2.fastq	WTCell180
WTCell181_1.fastq	WTCell181_2.fastq	WTCell181
WTCell182_1.fastq	WTCell182_2.fastq	WTCell182
WTCell183_1.fastq	WTCell183_2.fastq	WTCell183
WTCell184_1.fastq	WTCell184_2.fastq	WTCell184
WTCell185_1.fastq	WTCell185_2.fastq	WTCell185
WTCell186_1.fastq	WTCell186_2.fastq	WTCell186
WTCell187_1.fastq	WTCell187_2.fastq	WTCell187
WTCell188_1.fastq	WTCell188_2.fastq	WTCell188
WTCell189_1.fastq	WTCell189_2.fastq	WTCell189
WTCell190_1.fastq	WTCell190_2.fastq	WTCell190
WTCell191_1.fastq	WTCell191_2.fastq	WTCell191
WTCell192_1.fastq	WTCell192_2.fastq	WTCell192
WTCell193_1.fastq	WTCell193_2.fastq	WTCell193
WTCell194_1.fastq	WTCell194_2.fastq	WTCell194
